,Country,year,life_expectancy
201,Barbados,1801,32.1
202,Belarus,1801,36.2
203,Belgium,1801,40.0
204,Belize,1801,26.5
205,Benin,1801,31.0
206,Bhutan,1801,28.8
207,Bolivia,1801,33.0
208,Bosnia and Herzegovina,1801,35.1
209,Botswana,1801,33.6
210,Brazil,1801,32.0
211,Brunei,1801,29.2
212,Bulgaria,1801,35.8
213,Burkina Faso,1801,29.2
214,Burundi,1801,31.5
215,Cambodia,1801,35.0
216,Cameroon,1801,28.8
217,Canada,1801,39.0
218,Cape Verde,1801,33.8
219,Central African Republic,1801,30.0
220,Chad,1801,30.9
221,Chile,1801,32.0
222,China,1801,32.0
223,Colombia,1801,32.0
224,Comoros,1801,32.1
225,"Congo, Dem. Rep.",1801,31.6
226,"Congo, Rep.",1801,32.7
227,Costa Rica,1801,30.2
228,Cote d'Ivoire,1801,31.2
229,Croatia,1801,36.1
230,Cuba,1801,32.3
231,Cyprus,1801,38.5
232,Czech Republic,1801,35.0
233,Denmark,1801,38.5
234,Djibouti,1801,29.9
235,Dominica,1801,
236,Dominican Republic,1801,29.9
237,Ecuador,1801,32.9
238,Egypt,1801,33.0
239,El Salvador,1801,28.7
240,Equatorial Guinea,1801,29.8
241,Eritrea,1801,30.2
242,Estonia,1801,35.7
243,Ethiopia,1801,29.7
244,Fiji,1801,26.1
245,Finland,1801,40.3
246,France,1801,36.4
247,Gabon,1801,30.6
248,Gambia,1801,28.8
249,Georgia,1801,31.9
250,Germany,1801,38.4
251,Ghana,1801,28.0
252,Greece,1801,36.6
253,Grenada,1801,31.4
254,Guatemala,1801,25.8
255,Guinea,1801,29.5
256,Guinea-Bissau,1801,32.0
257,Guyana,1801,31.1
258,Haiti,1801,29.0
259,Honduras,1801,33.9
260,Hungary,1801,36.0
261,Iceland,1801,33.9
262,India,1801,25.4
263,Indonesia,1801,30.0
264,Iran,1801,25.6
265,Iraq,1801,31.2
266,Ireland,1801,38.3
267,Israel,1801,32.0
268,Italy,1801,29.7
269,Jamaica,1801,34.2
270,Japan,1801,36.4
271,Jordan,1801,31.7
272,Kazakhstan,1801,26.2
273,Kenya,1801,25.5
274,Kiribati,1801,24.9
275,Kuwait,1801,26.0
276,Kyrgyz Republic,1801,23.9
277,Lao,1801,31.9
278,Latvia,1801,33.0
279,Lebanon,1801,29.7
280,Lesotho,1801,32.8
281,Liberia,1801,31.1
282,Libya,1801,33.1
283,Lithuania,1801,28.9
284,Luxembourg,1801,36.9
285,"Macedonia, FYR",1801,36.1
286,Madagascar,1801,30.5
287,Malawi,1801,30.3
288,Malaysia,1801,30.6
289,Maldives,1801,32.6
290,Mali,1801,26.4
291,Malta,1801,28.7
292,Marshall Islands,1801,
293,Mauritania,1801,32.0
294,Mauritius,1801,28.7
295,Mexico,1801,26.9
296,"Micronesia, Fed. Sts.",1801,26.7
297,Moldova,1801,33.1
298,Mongolia,1801,31.8
299,Montenegro,1801,35.4
300,Morocco,1801,33.1
301,Mozambique,1801,30.3
302,Myanmar,1801,30.8
303,Namibia,1801,32.4
304,Nepal,1801,32.8
305,Netherlands,1801,39.9
306,New Zealand,1801,34.0
307,Nicaragua,1801,25.4
308,Niger,1801,30.8
309,Nigeria,1801,30.4
310,North Korea,1801,26.0
311,Norway,1801,35.8
312,Oman,1801,32.3
313,Pakistan,1801,25.8
314,Palestine,1801,32.1
315,Panama,1801,32.9
316,Papua New Guinea,1801,31.5
317,Paraguay,1801,35.5
318,Peru,1801,35.7
319,Philippines,1801,30.9
320,Poland,1801,35.9
321,Portugal,1801,35.6
322,Qatar,1801,30.8
323,Romania,1801,35.7
324,Russia,1801,29.6
325,Rwanda,1801,25.0
326,Samoa,1801,25.4
327,Sao Tome and Principe,1801,31.0
328,Saudi Arabia,1801,32.1
329,Senegal,1801,25.2
330,Serbia,1801,35.5
331,Seychelles,1801,37.0
332,Sierra Leone,1801,25.1
333,Singapore,1801,29.1
334,Slovak Republic,1801,36.4
335,Slovenia,1801,36.6
336,Solomon Islands,1801,25.1
337,Somalia,1801,29.4
338,South Africa,1801,33.5
339,South Korea,1801,25.8
340,South Sudan,1801,26.7
341,Spain,1801,29.5
342,Sri Lanka,1801,32.6
343,St. Lucia,1801,28.0
344,St. Vincent and the Grenadines,1801,26.0
345,Sudan,1801,31.4
346,Suriname,1801,32.9
347,Swaziland,1801,32.3
348,Sweden,1801,36.9
349,Switzerland,1801,38.0
350,Syria,1801,31.1
351,Tajikistan,1801,24.2
352,Tanzania,1801,32.2
353,Thailand,1801,30.4
354,Timor-Leste,1801,28.9
355,Togo,1801,31.3
356,Tonga,1801,28.2
357,Trinidad and Tobago,1801,32.9
358,Tunisia,1801,28.8
359,Turkey,1801,35.0
360,Turkmenistan,1801,24.0
361,Uganda,1801,25.3
362,Ukraine,1801,36.6
363,United Arab Emirates,1801,30.7
364,United Kingdom,1801,37.4
365,United States,1801,39.4
366,Uruguay,1801,32.9
367,Uzbekistan,1801,26.9
368,Vanuatu,1801,24.3
369,Venezuela,1801,32.2
370,Vietnam,1801,32.0
371,Yemen,1801,23.4
372,Zambia,1801,32.6
373,Zimbabwe,1801,33.7
374,Afghanistan,1802,28.2
375,Albania,1802,35.4
376,Algeria,1802,28.8
377,Andorra,1802,
378,Angola,1802,27.0
379,Antigua and Barbuda,1802,33.5
380,Argentina,1802,33.2
381,Armenia,1802,34.0
382,Australia,1802,34.0
383,Austria,1802,34.4
384,Azerbaijan,1802,29.2
385,Bahamas,1802,35.2
386,Bahrain,1802,30.3
387,Bangladesh,1802,25.5
388,Barbados,1802,32.1
389,Belarus,1802,36.2
390,Belgium,1802,40.0
391,Belize,1802,26.5
392,Benin,1802,31.0
393,Bhutan,1802,28.8
394,Bolivia,1802,33.0
395,Bosnia and Herzegovina,1802,35.1
396,Botswana,1802,33.6
397,Brazil,1802,32.0
398,Brunei,1802,29.2
399,Bulgaria,1802,35.9
400,Burkina Faso,1802,29.2
401,Burundi,1802,31.5
402,Cambodia,1802,35.0
403,Cameroon,1802,28.8
404,Canada,1802,39.0
405,Cape Verde,1802,33.8
406,Central African Republic,1802,30.0
407,Chad,1802,30.9
408,Chile,1802,32.0
409,China,1802,32.0
410,Colombia,1802,32.0
411,Comoros,1802,32.1
412,"Congo, Dem. Rep.",1802,31.6
413,"Congo, Rep.",1802,32.7
414,Costa Rica,1802,30.2
415,Cote d'Ivoire,1802,31.2
416,Croatia,1802,36.1
417,Cuba,1802,32.5
418,Cyprus,1802,38.5
419,Czech Republic,1802,35.0
420,Denmark,1802,44.4
421,Djibouti,1802,29.9
422,Dominica,1802,
423,Dominican Republic,1802,29.9
424,Ecuador,1802,32.9
425,Egypt,1802,33.0
426,El Salvador,1802,28.7
427,Equatorial Guinea,1802,29.8
428,Eritrea,1802,30.2
429,Estonia,1802,35.3
430,Ethiopia,1802,29.7
431,Fiji,1802,26.1
432,Finland,1802,39.2
433,France,1802,34.4
434,Gabon,1802,30.6
435,Gambia,1802,28.8
436,Georgia,1802,31.9
437,Germany,1802,38.4
438,Ghana,1802,28.0
439,Greece,1802,36.6
440,Grenada,1802,31.4
441,Guatemala,1802,25.8
442,Guinea,1802,29.5
443,Guinea-Bissau,1802,32.0
444,Guyana,1802,31.1
445,Haiti,1802,29.0
446,Honduras,1802,33.9
447,Hungary,1802,36.0
448,Iceland,1802,27.6
449,India,1802,25.0
450,Indonesia,1802,30.0
451,Iran,1802,25.6
452,Iraq,1802,31.2
453,Ireland,1802,38.3
454,Israel,1802,32.0
455,Italy,1802,29.7
456,Jamaica,1802,34.2
457,Japan,1802,36.4
458,Jordan,1802,31.7
459,Kazakhstan,1802,26.2
460,Kenya,1802,25.5
461,Kiribati,1802,24.9
462,Kuwait,1802,26.0
463,Kyrgyz Republic,1802,23.9
464,Lao,1802,31.9
465,Latvia,1802,33.0
466,Lebanon,1802,29.7
467,Lesotho,1802,32.8
468,Liberia,1802,31.1
469,Libya,1802,33.1
470,Lithuania,1802,28.9
471,Luxembourg,1802,36.9
472,"Macedonia, FYR",1802,36.1
473,Madagascar,1802,30.5
474,Malawi,1802,30.3
475,Malaysia,1802,30.6
476,Maldives,1802,32.6
477,Mali,1802,26.4
478,Malta,1802,28.7
479,Marshall Islands,1802,
480,Mauritania,1802,32.0
481,Mauritius,1802,28.7
482,Mexico,1802,26.9
483,"Micronesia, Fed. Sts.",1802,26.7
484,Moldova,1802,33.1
485,Mongolia,1802,31.8
486,Montenegro,1802,35.4
487,Morocco,1802,33.1
488,Mozambique,1802,30.3
489,Myanmar,1802,30.8
490,Namibia,1802,32.4
491,Nepal,1802,32.8
492,Netherlands,1802,39.9
493,New Zealand,1802,34.0
494,Nicaragua,1802,25.4
495,Niger,1802,30.8
496,Nigeria,1802,30.4
497,North Korea,1802,26.0
498,Norway,1802,38.4
499,Oman,1802,32.3
500,Pakistan,1802,25.8
501,Palestine,1802,32.1
502,Panama,1802,32.9
503,Papua New Guinea,1802,31.5
504,Paraguay,1802,35.5
505,Peru,1802,35.7
506,Philippines,1802,30.9
507,Poland,1802,35.9
508,Portugal,1802,35.6
509,Qatar,1802,30.8
510,Romania,1802,35.7
511,Russia,1802,29.6
512,Rwanda,1802,25.0
513,Samoa,1802,25.4
514,Sao Tome and Principe,1802,31.0
515,Saudi Arabia,1802,32.1
516,Senegal,1802,25.2
517,Serbia,1802,35.5
518,Seychelles,1802,37.0
519,Sierra Leone,1802,25.1
520,Singapore,1802,29.1
521,Slovak Republic,1802,36.4
522,Slovenia,1802,36.6
523,Solomon Islands,1802,25.1
524,Somalia,1802,29.4
525,South Africa,1802,33.5
526,South Korea,1802,25.8
527,South Sudan,1802,26.7
528,Spain,1802,29.5
529,Sri Lanka,1802,32.6
530,St. Lucia,1802,28.0
531,St. Vincent and the Grenadines,1802,26.0
532,Sudan,1802,31.4
533,Suriname,1802,32.9
534,Swaziland,1802,32.3
535,Sweden,1802,40.2
536,Switzerland,1802,38.0
537,Syria,1802,31.1
538,Tajikistan,1802,24.2
539,Tanzania,1802,32.2
540,Thailand,1802,30.4
541,Timor-Leste,1802,28.9
542,Togo,1802,31.3
543,Tonga,1802,28.2
544,Trinidad and Tobago,1802,32.9
545,Tunisia,1802,28.8
546,Turkey,1802,35.0
547,Turkmenistan,1802,24.0
548,Uganda,1802,25.3
549,Ukraine,1802,36.6
550,United Arab Emirates,1802,30.7
551,United Kingdom,1802,38.6
552,United States,1802,39.4
553,Uruguay,1802,32.9
554,Uzbekistan,1802,26.9
555,Vanuatu,1802,24.3
556,Venezuela,1802,32.2
557,Vietnam,1802,32.0
558,Yemen,1802,23.4
559,Zambia,1802,32.6
560,Zimbabwe,1802,33.7
561,Afghanistan,1803,28.2
562,Albania,1803,35.4
563,Algeria,1803,28.8
564,Andorra,1803,
565,Angola,1803,27.0
566,Antigua and Barbuda,1803,33.5
567,Argentina,1803,33.2
568,Armenia,1803,34.0
569,Australia,1803,34.0
570,Austria,1803,34.4
571,Azerbaijan,1803,29.2
572,Bahamas,1803,35.2
573,Bahrain,1803,30.3
574,Bangladesh,1803,25.5
575,Barbados,1803,32.1
576,Belarus,1803,36.2
577,Belgium,1803,40.0
578,Belize,1803,26.5
579,Benin,1803,31.0
580,Bhutan,1803,28.8
581,Bolivia,1803,33.0
582,Bosnia and Herzegovina,1803,35.1
583,Botswana,1803,33.6
584,Brazil,1803,32.0
585,Brunei,1803,29.2
586,Bulgaria,1803,35.9
587,Burkina Faso,1803,29.2
588,Burundi,1803,31.5
589,Cambodia,1803,35.0
590,Cameroon,1803,28.8
591,Canada,1803,39.0
592,Cape Verde,1803,33.8
593,Central African Republic,1803,30.0
594,Chad,1803,30.9
595,Chile,1803,32.0
596,China,1803,32.0
597,Colombia,1803,32.0
598,Comoros,1803,32.1
599,"Congo, Dem. Rep.",1803,31.6
600,"Congo, Rep.",1803,32.7
601,Costa Rica,1803,30.2
602,Cote d'Ivoire,1803,31.2
603,Croatia,1803,36.1
604,Cuba,1803,32.6
605,Cyprus,1803,38.5
606,Czech Republic,1803,35.0
607,Denmark,1803,44.8
608,Djibouti,1803,29.9
609,Dominica,1803,
610,Dominican Republic,1803,29.9
611,Ecuador,1803,32.9
612,Egypt,1803,33.0
613,El Salvador,1803,28.7
614,Equatorial Guinea,1803,29.8
615,Eritrea,1803,30.2
616,Estonia,1803,34.8
617,Ethiopia,1803,29.7
618,Fiji,1803,26.1
619,Finland,1803,28.5
620,France,1803,30.6
621,Gabon,1803,30.6
622,Gambia,1803,28.8
623,Georgia,1803,31.9
624,Germany,1803,38.4
625,Ghana,1803,28.0
626,Greece,1803,36.6
627,Grenada,1803,31.4
628,Guatemala,1803,25.8
629,Guinea,1803,29.5
630,Guinea-Bissau,1803,32.0
631,Guyana,1803,31.1
632,Haiti,1803,29.0
633,Honduras,1803,33.9
634,Hungary,1803,36.0
635,Iceland,1803,19.6
636,India,1803,24.0
637,Indonesia,1803,30.0
638,Iran,1803,25.6
639,Iraq,1803,31.2
640,Ireland,1803,38.3
641,Israel,1803,32.0
642,Italy,1803,29.7
643,Jamaica,1803,34.2
644,Japan,1803,36.4
645,Jordan,1803,31.7
646,Kazakhstan,1803,26.2
647,Kenya,1803,25.5
648,Kiribati,1803,24.9
649,Kuwait,1803,26.0
650,Kyrgyz Republic,1803,23.9
651,Lao,1803,31.9
652,Latvia,1803,33.0
653,Lebanon,1803,29.7
654,Lesotho,1803,32.8
655,Liberia,1803,31.1
656,Libya,1803,33.1
657,Lithuania,1803,28.9
658,Luxembourg,1803,36.9
659,"Macedonia, FYR",1803,36.1
660,Madagascar,1803,30.5
661,Malawi,1803,30.3
662,Malaysia,1803,30.6
663,Maldives,1803,32.6
664,Mali,1803,26.4
665,Malta,1803,28.7
666,Marshall Islands,1803,
667,Mauritania,1803,32.0
668,Mauritius,1803,28.7
669,Mexico,1803,26.9
670,"Micronesia, Fed. Sts.",1803,26.7
671,Moldova,1803,33.1
672,Mongolia,1803,31.8
673,Montenegro,1803,35.4
674,Morocco,1803,33.1
675,Mozambique,1803,30.3
676,Myanmar,1803,30.8
677,Namibia,1803,32.4
678,Nepal,1803,32.8
679,Netherlands,1803,39.9
680,New Zealand,1803,34.0
681,Nicaragua,1803,25.4
682,Niger,1803,30.8
683,Nigeria,1803,30.4
684,North Korea,1803,26.0
685,Norway,1803,38.7
686,Oman,1803,32.3
687,Pakistan,1803,25.8
688,Palestine,1803,32.1
689,Panama,1803,32.9
690,Papua New Guinea,1803,31.5
691,Paraguay,1803,35.5
692,Peru,1803,35.7
693,Philippines,1803,30.9
694,Poland,1803,35.9
695,Portugal,1803,35.6
696,Qatar,1803,30.8
697,Romania,1803,35.7
698,Russia,1803,29.6
699,Rwanda,1803,31.8
700,Samoa,1803,25.4
701,Sao Tome and Principe,1803,31.0
702,Saudi Arabia,1803,32.1
703,Senegal,1803,25.2
704,Serbia,1803,35.5
705,Seychelles,1803,37.0
706,Sierra Leone,1803,25.1
707,Singapore,1803,29.1
708,Slovak Republic,1803,36.4
709,Slovenia,1803,36.6
710,Solomon Islands,1803,25.1
711,Somalia,1803,29.4
712,South Africa,1803,33.5
713,South Korea,1803,25.8
714,South Sudan,1803,26.7
715,Spain,1803,29.5
716,Sri Lanka,1803,32.6
717,St. Lucia,1803,28.0
718,St. Vincent and the Grenadines,1803,26.0
719,Sudan,1803,31.4
720,Suriname,1803,32.9
721,Swaziland,1803,32.3
722,Sweden,1803,40.3
723,Switzerland,1803,38.0
724,Syria,1803,31.1
725,Tajikistan,1803,24.2
726,Tanzania,1803,32.2
727,Thailand,1803,30.4
728,Timor-Leste,1803,28.9
729,Togo,1803,31.3
730,Tonga,1803,28.2
731,Trinidad and Tobago,1803,32.9
732,Tunisia,1803,28.8
733,Turkey,1803,35.0
734,Turkmenistan,1803,24.0
735,Uganda,1803,25.3
736,Ukraine,1803,36.6
737,United Arab Emirates,1803,30.7
738,United Kingdom,1803,37.3
739,United States,1803,39.4
740,Uruguay,1803,32.9
741,Uzbekistan,1803,26.9
742,Vanuatu,1803,24.3
743,Venezuela,1803,32.2
744,Vietnam,1803,32.0
745,Yemen,1803,23.4
746,Zambia,1803,32.6
747,Zimbabwe,1803,33.7
748,Afghanistan,1804,28.2
749,Albania,1804,35.4
750,Algeria,1804,28.8
751,Andorra,1804,
752,Angola,1804,27.0
753,Antigua and Barbuda,1804,33.5
754,Argentina,1804,33.2
755,Armenia,1804,34.0
756,Australia,1804,34.0
757,Austria,1804,34.4
758,Azerbaijan,1804,29.2
759,Bahamas,1804,35.2
760,Bahrain,1804,30.3
761,Bangladesh,1804,25.5
762,Barbados,1804,32.1
763,Belarus,1804,36.2
764,Belgium,1804,40.0
765,Belize,1804,26.5
766,Benin,1804,31.0
767,Bhutan,1804,28.8
768,Bolivia,1804,33.0
769,Bosnia and Herzegovina,1804,35.1
770,Botswana,1804,33.6
771,Brazil,1804,32.0
772,Brunei,1804,29.2
773,Bulgaria,1804,36.0
774,Burkina Faso,1804,29.2
775,Burundi,1804,31.5
776,Cambodia,1804,35.0
777,Cameroon,1804,28.8
778,Canada,1804,39.0
779,Cape Verde,1804,33.8
780,Central African Republic,1804,30.0
781,Chad,1804,30.9
782,Chile,1804,32.0
783,China,1804,32.0
784,Colombia,1804,32.0
785,Comoros,1804,32.1
786,"Congo, Dem. Rep.",1804,31.6
787,"Congo, Rep.",1804,32.7
788,Costa Rica,1804,30.2
789,Cote d'Ivoire,1804,31.2
790,Croatia,1804,36.1
791,Cuba,1804,32.7
792,Cyprus,1804,38.5
793,Czech Republic,1804,35.0
794,Denmark,1804,42.8
795,Djibouti,1804,29.9
796,Dominica,1804,
797,Dominican Republic,1804,29.9
798,Ecuador,1804,32.9
799,Egypt,1804,33.0
800,El Salvador,1804,28.7
801,Equatorial Guinea,1804,29.8
802,Eritrea,1804,30.2
803,Estonia,1804,34.4
804,Ethiopia,1804,29.7
805,Fiji,1804,26.1
806,Finland,1804,35.9
807,France,1804,29.4
808,Gabon,1804,30.6
809,Gambia,1804,28.8
810,Georgia,1804,31.9
811,Germany,1804,38.4
812,Ghana,1804,28.0
813,Greece,1804,36.6
814,Grenada,1804,31.4
815,Guatemala,1804,25.8
816,Guinea,1804,29.5
817,Guinea-Bissau,1804,32.0
818,Guyana,1804,31.1
819,Haiti,1804,29.0
820,Honduras,1804,33.9
821,Hungary,1804,36.0
822,Iceland,1804,24.8
823,India,1804,23.5
824,Indonesia,1804,30.0
825,Iran,1804,25.6
826,Iraq,1804,31.2
827,Ireland,1804,38.3
828,Israel,1804,32.0
829,Italy,1804,29.7
830,Jamaica,1804,34.2
831,Japan,1804,36.4
832,Jordan,1804,31.7
833,Kazakhstan,1804,26.2
834,Kenya,1804,25.5
835,Kiribati,1804,24.9
836,Kuwait,1804,26.0
837,Kyrgyz Republic,1804,23.9
838,Lao,1804,31.9
839,Latvia,1804,33.0
840,Lebanon,1804,29.7
841,Lesotho,1804,32.8
842,Liberia,1804,31.1
843,Libya,1804,33.1
844,Lithuania,1804,28.9
845,Luxembourg,1804,36.9
846,"Macedonia, FYR",1804,36.1
847,Madagascar,1804,30.5
848,Malawi,1804,30.3
849,Malaysia,1804,30.6
850,Maldives,1804,32.6
851,Mali,1804,26.4
852,Malta,1804,28.7
853,Marshall Islands,1804,
854,Mauritania,1804,32.0
855,Mauritius,1804,28.7
856,Mexico,1804,26.9
857,"Micronesia, Fed. Sts.",1804,26.7
858,Moldova,1804,33.1
859,Mongolia,1804,31.8
860,Montenegro,1804,35.4
861,Morocco,1804,33.1
862,Mozambique,1804,30.3
863,Myanmar,1804,30.8
864,Namibia,1804,32.4
865,Nepal,1804,32.8
866,Netherlands,1804,39.9
867,New Zealand,1804,34.0
868,Nicaragua,1804,25.4
869,Niger,1804,30.8
870,Nigeria,1804,30.4
871,North Korea,1804,26.0
872,Norway,1804,40.5
873,Oman,1804,32.3
874,Pakistan,1804,25.8
875,Palestine,1804,32.1
876,Panama,1804,32.9
877,Papua New Guinea,1804,31.5
878,Paraguay,1804,35.5
879,Peru,1804,35.7
880,Philippines,1804,30.9
881,Poland,1804,35.9
882,Portugal,1804,35.6
883,Qatar,1804,30.8
884,Romania,1804,35.7
885,Russia,1804,29.6
886,Rwanda,1804,31.8
887,Samoa,1804,25.4
888,Sao Tome and Principe,1804,31.0
889,Saudi Arabia,1804,32.1
890,Senegal,1804,25.2
891,Serbia,1804,35.5
892,Seychelles,1804,37.0
893,Sierra Leone,1804,25.1
894,Singapore,1804,29.1
895,Slovak Republic,1804,36.4
896,Slovenia,1804,36.6
897,Solomon Islands,1804,25.1
898,Somalia,1804,29.4
899,South Africa,1804,33.5
900,South Korea,1804,25.8
901,South Sudan,1804,26.7
902,Spain,1804,29.5
903,Sri Lanka,1804,32.6
904,St. Lucia,1804,28.0
905,St. Vincent and the Grenadines,1804,26.0
906,Sudan,1804,31.4
907,Suriname,1804,32.9
908,Swaziland,1804,32.3
909,Sweden,1804,39.7
910,Switzerland,1804,38.0
911,Syria,1804,31.1
912,Tajikistan,1804,24.2
913,Tanzania,1804,32.2
914,Thailand,1804,30.4
915,Timor-Leste,1804,28.9
916,Togo,1804,31.3
917,Tonga,1804,28.2
918,Trinidad and Tobago,1804,32.9
919,Tunisia,1804,28.8
920,Turkey,1804,35.0
921,Turkmenistan,1804,24.0
922,Uganda,1804,25.3
923,Ukraine,1804,36.6
924,United Arab Emirates,1804,30.7
925,United Kingdom,1804,41.4
926,United States,1804,39.4
927,Uruguay,1804,32.9
928,Uzbekistan,1804,26.9
929,Vanuatu,1804,24.3
930,Venezuela,1804,32.2
931,Vietnam,1804,32.0
932,Yemen,1804,23.4
933,Zambia,1804,32.6
934,Zimbabwe,1804,33.7
935,Afghanistan,1805,28.2
936,Albania,1805,35.4
937,Algeria,1805,28.8
938,Andorra,1805,
939,Angola,1805,27.0
